LineId,Date,Time,Level,Component,Content,EventId,EventTemplate
1,2026-01-15,21:07:38,INFO,System,Health check status: OK,E101,Health check status: OK
2,2026-01-15,21:07:51,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
3,2026-01-15,21:08:17,WARN,System,High latency detected from IP 10.0.0.49,E202,High latency detected from IP {ip}
4,2026-01-15,21:08:43,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
5,2026-01-15,21:09:58,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
6,2026-01-15,21:11:42,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.8,E501,Connection refused to database InventoryDB at {ip}
7,2026-01-15,21:13:15,INFO,System,Health check status: OK,E101,Health check status: OK
8,2026-01-15,21:15:08,WARN,System,High latency detected from IP 10.0.0.49,E202,High latency detected from IP {ip}
9,2026-01-15,21:17:02,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
10,2026-01-15,21:17:52,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
11,2026-01-15,21:18:05,INFO,System,Health check status: OK,E101,Health check status: OK
12,2026-01-15,21:18:27,INFO,System,Health check status: OK,E101,Health check status: OK
13,2026-01-15,21:19:08,WARN,System,High latency detected from IP 10.0.0.49,E202,High latency detected from IP {ip}
14,2026-01-15,21:20:58,ERROR,AuthService,AuthService unavailable: 503 Service Unavailable,E503,AuthService unavailable: 503 Service Unavailable
15,2026-01-15,21:22:48,INFO,System,Health check status: OK,E101,Health check status: OK
16,2026-01-15,21:23:51,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
17,2026-01-15,21:23:56,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.32,E501,Connection refused to database InventoryDB at {ip}
18,2026-01-15,21:23:57,CRITICAL,InventoryDB,Connection refused to database InventoryDB at 10.0.0.49,E501,Connection refused to database InventoryDB at {ip}
